noisy_path,clean_path,noise_type,bucket,snr_db,split
data/processed/train/1462-170142-0025__1-76831-A-42__neg5db__noisy.wav,data/processed/train/1462-170142-0025__1-76831-A-42__neg5db__clean.wav,1-76831-A-42,stationary,-5,train
data/processed/train/2428-83699-0029__4-165791-B-45__0db__noisy.wav,data/processed/train/2428-83699-0029__4-165791-B-45__0db__clean.wav,4-165791-B-45,stationary,0,train
data/processed/train/7850-286674-0009__5-185579-A-41__0db__noisy.wav,data/processed/train/7850-286674-0009__5-185579-A-41__0db__clean.wav,5-185579-A-41,stationary,0,train
data/processed/train/1272-135031-0016__1-53467-A-47__5db__noisy.wav,data/processed/train/1272-135031-0016__1-53467-A-47__5db__clean.wav,1-53467-A-47,stationary,5,train
data/processed/train/777-126732-0072__1-25777-A-48__10db__noisy.wav,data/processed/train/777-126732-0072__1-25777-A-48__10db__clean.wav,1-25777-A-48,impulsive,10,train
data/processed/train/5694-64025-0012__4-119647-A-48__0db__noisy.wav,data/processed/train/5694-64025-0012__4-119647-A-48__0db__clean.wav,4-119647-A-48,impulsive,0,train
data/processed/train/1272-128104-0004__4-178881-A-45__neg5db__noisy.wav,data/processed/train/1272-128104-0004__4-178881-A-45__neg5db__clean.wav,4-178881-A-45,stationary,-5,train
data/processed/train/1993-147964-0006__4-165823-B-41__neg5db__noisy.wav,data/processed/train/1993-147964-0006__4-165823-B-41__neg5db__clean.wav,4-165823-B-41,stationary,-5,train
data/processed/train/8297-275155-0029__4-165606-A-45__5db__noisy.wav,data/processed/train/8297-275155-0029__4-165606-A-45__5db__clean.wav,4-165606-A-45,stationary,5,train
data/processed/train/3170-137482-0024__1-19898-B-41__5db__noisy.wav,data/processed/train/3170-137482-0024__1-19898-B-41__5db__clean.wav,1-19898-B-41,stationary,5,train
data/processed/train/84-121550-0004__1-31482-B-42__neg5db__noisy.wav,data/processed/train/84-121550-0004__1-31482-B-42__neg5db__clean.wav,1-31482-B-42,stationary,-5,train
data/processed/train/251-137823-0021__1-181071-B-40__0db__noisy.wav,data/processed/train/251-137823-0021__1-181071-B-40__0db__clean.wav,1-181071-B-40,stationary,0,train
data/processed/train/3170-137482-0048__1-76831-C-42__0db__noisy.wav,data/processed/train/3170-137482-0048__1-76831-C-42__0db__clean.wav,1-76831-C-42,stationary,0,train
data/processed/train/7850-281318-0000__0__neg5db__noisy.wav,data/processed/train/7850-281318-0000__0__neg5db__clean.wav,0,stationary,-5,train
data/processed/train/1462-170145-0007__3-159445-A-45__5db__noisy.wav,data/processed/train/1462-170145-0007__3-159445-A-45__5db__clean.wav,3-159445-A-45,stationary,5,train
data/processed/train/1272-141231-0007__3-128160-A-44__neg5db__noisy.wav,data/processed/train/1272-141231-0007__3-128160-A-44__neg5db__clean.wav,3-128160-A-44,stationary,-5,train
data/processed/train/5694-64029-0022__2-106015-B-44__0db__noisy.wav,data/processed/train/5694-64029-0022__2-106015-B-44__0db__clean.wav,2-106015-B-44,stationary,0,train
data/processed/train/1993-147965-0006__2-117615-D-48__10db__noisy.wav,data/processed/train/1993-147965-0006__2-117615-D-48__10db__clean.wav,2-117615-D-48,impulsive,10,train
data/processed/train/652-130726-0028__5-215445-A-47__neg5db__noisy.wav,data/processed/train/652-130726-0028__5-215445-A-47__neg5db__clean.wav,5-215445-A-47,stationary,-5,train
data/processed/train/7850-286674-0000__3-118657-A-41__neg5db__noisy.wav,data/processed/train/7850-286674-0000__3-118657-A-41__neg5db__clean.wav,3-118657-A-41,stationary,-5,train
data/processed/train/1988-24833-0019__3-62878-A-42__neg5db__noisy.wav,data/processed/train/1988-24833-0019__3-62878-A-42__neg5db__clean.wav,3-62878-A-42,stationary,-5,train
data/processed/train/5895-34622-0004__5-215445-A-47__neg5db__noisy.wav,data/processed/train/5895-34622-0004__5-215445-A-47__neg5db__clean.wav,5-215445-A-47,stationary,-5,train
data/processed/train/5895-34622-0000__1-50455-A-44__5db__noisy.wav,data/processed/train/5895-34622-0000__1-50455-A-44__5db__clean.wav,1-50455-A-44,stationary,5,train
